City,Year,PM2.5 (µg/m³),SmartCity,EV,GreenCover,PopulationDensity,AT (°C),RH (%),WS (m/s),RF (mm)
Bhopal,2022,83.50718446601941,1.0,10864,336.35,226.98,25.302692307692308,55.38451923076923,0.4642307692307692,0.027403846153846154
Bhopal,2023,50.94657654582304,1.0,20433,336.35,226.98,25.706772242295152,56.880555210759546,0.7636384119422605,0.024068935572942565
Bhopal,2024,48.98419178082192,1.0,26997,336.35,226.98,25.102191780821915,57.29994520547945,0.7772802197802198,0.04246575342465753
Bhopal,2025,42.93148351648352,1.0,28673,336.35,226.98,24.526923076923076,55.128351648351654,0.7434065934065934,0.019807692307692307
Bhubaneswar,2023,98.27457735076457,1.0,15466,530.4,115.4,26.069845322388215,67.0035386839921,0.8622677884932788,0.0018045033670033668
Bhubaneswar,2024,49.58479108635097,1.0,19493,530.4,115.4,29.94038888888889,73.44235955056179,1.2277437325905292,0.03208333333333334
Bhubaneswar,2025,48.531041095890416,1.0,20266,530.4,115.4,29.902575342465756,81.54534246575342,0.912082191780822,0.022904109589041096
Chandigarh,2017,48.384498256863054,1.0,76,25.0,87.9,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Chandigarh,2018,48.384498256863054,1.0,274,25.0,87.9,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Chandigarh,2019,48.384498256863054,1.0,806,25.0,87.9,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Chandigarh,2020,48.384498256863054,1.0,1213,25.0,87.9,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Chandigarh,2021,58.28858108108108,1.0,2188,25.0,87.9,24.9922972972973,66.37527027027028,0.5041891891891892,0.006824324324324324
Chandigarh,2022,57.109116809116806,1.0,6086,25.0,87.9,27.391538461538463,55.712385620915036,0.6089714285714285,0.02245014245014245
Chandigarh,2023,51.846418657345,1.0,12615,25.0,87.9,28.286976392470308,61.51944254358109,0.5078502431910965,0.08637880380884808
Chandigarh,2024,67.77437158469945,1.0,16847,25.0,87.9,26.699016393442623,59.39416901408451,0.48032876712328765,0.04248633879781421
Chandigarh,2025,49.73479452054795,1.0,18387,25.0,87.9,23.166109589041092,70.7930410958904,0.4319178082191781,0.023534246575342466
Coimbatore,2017,48.384498256863054,1.0,3,1953.18,132.38,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Coimbatore,2018,48.384498256863054,1.0,21,1953.18,132.38,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Coimbatore,2019,29.190804020100504,1.0,59,1953.18,132.38,25.693383084577114,73.6355223880597,11.21004975124378,0.43502463054187196
Coimbatore,2020,28.217313019390584,1.0,172,1953.18,132.38,26.632292817679556,72.60182320441989,9.17889502762431,0.0
Coimbatore,2021,39.32892561983471,1.0,796,1953.18,132.38,25.37341463414634,68.59952,4.947439999999999,0.0
Coimbatore,2022,29.724358208955223,1.0,2712,1953.18,132.38,25.69749244712991,73.64598187311178,11.211292307692307,0.32511904761904764
Coimbatore,2023,44.53810135965897,1.0,5471,1953.18,132.38,27.002069979327057,66.0132340012921,7.636792875388562,0.010821134868421052
Coimbatore,2024,32.163969465648854,1.0,7162,1953.18,132.38,26.358195488721805,77.42157894736842,4.624375,0.0
Coimbatore,2025,29.417582417582416,1.0,8185,1953.18,132.38,25.971695652173914,67.32027397260275,5.326887159533074,0.008794520547945207
Cuttack,2023,93.60101731728221,1.0,12941,564.58,207.13,23.987968135223813,80.8731960950764,1.2657620024523675,0.010534274193548384
Cuttack,2024,44.58786885245902,1.0,16873,564.58,207.13,29.538442622950818,77.02002732240437,1.6828142076502732,0.03355191256830601
Cuttack,2025,46.94870523415978,1.0,17552,564.58,207.13,27.692093663911844,67.78151515151515,1.494435261707989,0.040633608815427
Guwahati,2017,48.384498256863054,1.0,54,29.41,230.81,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Guwahati,2018,48.384498256863054,1.0,262,29.41,230.81,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Guwahati,2019,48.384498256863054,1.0,630,29.41,230.81,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Guwahati,2020,48.384498256863054,1.0,985,29.41,230.81,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Guwahati,2021,48.384498256863054,1.0,1677,29.41,230.81,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Guwahati,2022,95.94384615384615,1.0,3033,29.41,230.81,13.96923076923077,31.303846153846152,1.22,0.0
