City,Year,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),EV,GreenCover,PopulationDensity
Bengaluru,2017,,85.85596638655463,21.210304878048778,54.91118902439024,47.03989473684211,,8.00854938271605,1.1320718232044198,,,,,,,,,,,,,,,,,36,284.28,240.7
Bengaluru,2018,,122.99345454545455,18.39971659919028,36.214839999999995,51.99943113772456,,7.974086956521739,1.440883190883191,,,,,,,,,,,,,,,,,168,284.28,240.7
Bengaluru,2019,,125.56066445182725,15.75801261829653,44.7507570977918,60.14195583596214,,8.268710691823898,1.5136990595611286,,,,,,,,,,,,,,,,,451,284.28,240.7
Bengaluru,2020,,90.23457516339869,7.119457627118643,30.819120521172636,35.97843648208469,,8.582792452830189,1.1502090592334495,,,,,,,,,,,,,,,,,1022,284.28,240.7
Bengaluru,2021,,69.26085987261146,14.605,27.4092523364486,30.17243827160494,,8.645109717868339,1.4981533101045297,,,,,,,,,,,,,,,,,2561,284.28,240.7
Bengaluru,2022,,75.5610447761194,13.181364985163205,22.889762611275966,36.24658753709199,,17.86780415430267,1.8668842729970325,,,,,,,,,,,,,,,,,9770,284.28,240.7
Bengaluru,2023,,79.59317191023847,9.192610215490278,28.59850749550403,30.74444626598291,,17.163366335608895,1.1119419686880072,,,,,,,,,,,,,,,,,19495,284.28,240.7
Bengaluru,2024,,82.37312252964428,5.15,23.017538461538464,28.587692307692308,,12.50859375,1.3552325581395348,,,,,,,,,,,,,,,,,25356,284.28,240.7
Bengaluru,2025,,93.84604294478528,8.856411042944785,32.85021472392638,41.9030981595092,,9.162147239263804,1.2966257668711656,,,,,,,,,,,,,,,,,30072,284.28,240.7
Bhopal,2017,,,,,,,,,,,,,,,,,,,,,0.0,,,,212,336.35,226.98
Bhopal,2018,,,,,,,,,,,,,,,,,,,,,0.0,,,,597,336.35,226.98
Bhopal,2019,,,,,,,,,,,,,,,,,,,,,0.0,,,,1031,336.35,226.98
Bhopal,2020,,,,,,,,,,,,,,,,,,,,,0.0,,,,2067,336.35,226.98
Bhopal,2021,,,,,,,,,,,,,,,,,,,,,0.0,,,,4562,336.35,226.98
Bhopal,2022,83.50718446601941,165.4175,15.115865384615384,29.826057692307693,28.150192307692308,18.65721153846154,6.5575,1.2351923076923077,28.533076923076923,1.8590697674418604,114.95558139534884,2.363604651162791,,1.7218604651162792,4.408953488372093,25.302692307692308,55.38451923076923,0.4642307692307692,172.82221153846152,0.027403846153846154,0.7479452054794521,65.66163461538461,,,10864,336.35,226.98
Bhopal,2023,50.94657654582304,117.71456672124157,8.282289666523706,25.937858250224235,20.50449383052696,15.801402590694101,15.840347923659765,0.9429503551130446,39.317786135744406,0.52099611690519,5.115949826960645,0.3960932909191113,,0.6375019623155327,0.9534500920649092,25.706772242295152,56.880555210759546,0.7636384119422605,165.8821422189508,0.024068935572942565,0.020693493150684923,80.59392167831628,,,20433,336.35,226.98
Bhopal,2024,48.98419178082192,110.31123287671232,8.235260273972603,27.388849315068494,21.217260273972602,25.105289256198347,9.39517808219178,0.6392876712328768,37.08010958904109,0.7067123287671233,3.054109589041096,0.5543287671232877,,0.48263013698630136,1.1967671232876713,25.102191780821915,57.29994520547945,0.7772802197802198,206.0785164835165,0.04246575342465753,0.03950819672131148,74.06216438356164,,,26997,336.35,226.98
Bhopal,2025,42.93148351648352,105.09546703296704,9.755302197802198,26.19936813186813,21.818379120879122,17.06864640883978,8.9100826446281,0.48640109890109895,39.41835164835165,1.2054469273743018,4.428403361344538,0.672016806722689,,0.6657434402332362,1.5127507163323783,24.526923076923076,55.128351648351654,0.7434065934065934,216.05524725274725,0.019807692307692307,1.7495890410958905,56.24098901098901,,,28673,336.35,226.98
Bhubaneswar,2023,98.27457735076457,188.6080216802705,7.075469284788339,33.571853843843286,23.95079404291361,16.435970554534915,12.933243955454996,1.3861046878104055,72.31822571706992,3.045125847055994,12.536720849956144,,,1.7655589329595376,2.9899532350819116,26.069845322388215,67.0035386839921,0.8622677884932788,144.15907964131003,0.0018045033670033668,0.0002597031963470318,124.50467933494573,,,15466,530.4,115.4
Bhubaneswar,2024,49.58479108635097,98.08362116991643,3.222777777777778,13.217694444444444,9.549694444444444,11.921392757660167,10.505877437325905,1.306100278551532,42.1008913649025,1.3535,12.322166666666666,,,0.7166388888888889,1.4513055555555556,29.94038888888889,73.44235955056179,1.2277437325905292,162.17757660167132,0.03208333333333334,0.030928961748633882,114.04736111111112,,,19493,530.4,115.4
Bhubaneswar,2025,48.531041095890416,90.65805479452055,5.2624657534246575,18.103342465753425,13.92572602739726,16.86172602739726,7.994767123287672,1.1082465753424657,41.13468493150685,1.3045753424657536,3.7329863013698628,,,0.5796712328767124,1.2258630136986302,29.902575342465756,81.54534246575342,0.912082191780822,168.60849315068492,0.022904109589041096,2.0216438356164383,90.2637808219178,,,20266,530.4,115.4
Chandigarh,2017,,,,,,,,,,,,,,,,,,,,,0.0,,,,76,25.0,87.9
Chandigarh,2018,,,,,,,,,,,,,,,,,,,,,0.0,,,,274,25.0,87.9
Chandigarh,2019,,,,,,,,,,,,,,,,,,,,,0.0,,,,806,25.0,87.9
Chandigarh,2020,,,,,,,,,,,,,,,,,,,,,0.0,,,,1213,25.0,87.9
Chandigarh,2021,58.28858108108108,103.34364864864865,16.71689189189189,50.89662162162162,40.58837837837838,16.939797297297297,8.192635135135134,0.9502702702702702,55.14141891891892,1.2495205479452056,8.266643835616438,2.6223287671232876,,2.121986301369863,4.29013698630137,24.9922972972973,66.37527027027028,0.5041891891891892,188.33804054054053,0.006824324324324324,0.2632876712328767,50.58702702702703,,,2188,25.0,87.9
Chandigarh,2022,57.109116809116806,112.7336752136752,9.666182336182336,39.85977207977208,28.845726495726495,20.954843304843305,11.536666666666667,1.0759654178674352,68.38099715099715,2.1595142857142857,8.161914285714285,6.171514285714286,,3.2326857142857146,4.864457142857143,27.391538461538463,55.712385620915036,0.6089714285714285,194.79274285714288,0.02245014245014245,2.0493150684931507,51.91333333333334,,,6086,25.0,87.9
Chandigarh,2023,51.846418657345,122.29304001844746,11.175930075609486,35.93338488387427,28.17714620895568,23.801171354940276,11.346168601329138,1.1068204286507557,60.29549441247567,2.5672064435342223,12.751475945002491,8.054884547577094,,5.7407530039653825,7.068550891566564,28.286976392470308,61.51944254358109,0.5078502431910965,192.6808128064368,0.08637880380884808,0.10717465753424657,56.51179925906186,,,12615,25.0,87.9
Chandigarh,2024,67.77437158469945,134.61666666666665,12.091972602739725,34.93265753424657,28.334082191780823,36.074419889502764,10.8201912568306,0.9807650273224043,55.81803278688525,2.2162241887905605,11.488761061946903,3.5557817109144545,,3.7460176991150447,4.5886135693215335,26.699016393442623,59.39416901408451,0.48032876712328765,216.44972602739725,0.04248633879781421,0.039071038251366125,82.65815642458101,,,16847,25.0,87.9
Chandigarh,2025,49.73479452054795,82.69843835616439,15.919556786703602,32.34687845303867,30.072265193370164,70.1762258953168,10.26717808219178,1.1681917808219178,48.84893150684932,1.1390358126721765,6.177107438016529,1.1597520661157026,,1.4165840220385675,1.442396694214876,23.166109589041092,70.7930410958904,0.4319178082191781,212.3768493150685,0.023534246575342466,2.241095890410959,52.203616438356164,,,18387,25.0,87.9
Coimbatore,2017,,,,,,,,,,,,,,,,,,,,,0.0,,,,3,1953.18,132.38
Coimbatore,2018,,,,,,,,,,,,,,,,,,,,,0.0,,,,21,1953.18,132.38
Coimbatore,2019,29.190804020100504,38.61611940298508,10.975517241379311,15.02233502538071,22.49975369458128,11.486827956989249,9.555221674876847,1.215024630541872,25.979901477832513,0.01497536945812808,0.06536945812807882,,,,0.059,25.693383084577114,73.6355223880597,11.21004975124378,147.0054726368159,0.43502463054187196,20.51290410958904,198.91820895522386,,,59,1953.18,132.38
Coimbatore,2020,28.217313019390584,37.22720221606648,1.3135813953488373,32.36044444444445,31.23130813953488,6.8359756097560975,7.895911602209945,0.6204857142857142,21.464889502762432,0.001160220994475138,0.006160220994475138,,,0.01,0.01723404255319149,26.632292817679556,72.60182320441989,9.17889502762431,182.79698895027622,0.0,0.0,216.07983425414363,,,172,1953.18,132.38
Coimbatore,2021,39.32892561983471,51.342800000000004,0.18770491803278688,28.54806451612903,28.08241935483871,5.954107142857143,14.73688,0.93232,10.17672,0.0,0.0,,,,,25.37341463414634,68.59952,4.947439999999999,140.3992,0.0,0.0,183.16192,,,796,1953.18,132.38
Coimbatore,2022,29.724358208955223,51.52608955223881,4.020816326530612,15.89489552238806,15.236041666666669,3.0754828660436138,18.040059701492538,0.6876417910447762,8.936716417910448,0.0,0.005029761904761905,,,,0.01888888888888889,25.69749244712991,73.64598187311178,11.211292307692307,120.20939577039275,0.32511904761904764,28.288000000000004,200.2101246105919,,,2712,1953.18,132.38
Coimbatore,2023,44.53810135965897,162.59411147858705,3.1581390648515644,11.908519457628552,13.621190101953209,7.229831130402263,13.906253784728804,0.9594369345852377,19.396873398963535,0.007289917407154242,0.04397845105326817,,,0.035805555555555535,0.08007154230558446,27.002069979327057,66.0132340012921,7.636792875388562,144.44709884638573,0.010821134868421052,0.005436643835616438,216.90797390883196,,,5471,1953.18,132.38
Coimbatore,2024,32.163969465648854,70.97146153846154,4.592045454545454,16.60068181818182,20.230375939849623,4.047878787878788,12.862348484848484,0.5173684210526316,23.871374045801527,0.014511278195488721,0.03082706766917293,,,0.9700000000000001,,26.358195488721805,77.42157894736842,4.624375,139.36909774436091,0.0,0.0,176.18225563909775,,,7162,1953.18,132.38
Coimbatore,2025,29.417582417582416,58.86906593406594,3.3493424657534248,10.359205479452054,13.42049315068493,3.4495342465753422,16.41627397260274,0.6388493150684932,18.30313888888889,0.38175342465753426,0.3978356164383562,,,1.3857,,25.971695652173914,67.32027397260275,5.326887159533074,126.6037808219178,0.008794520547945207,0.8504109589041096,191.0175486381323,,,8185,1953.18,132.38
