Model,RMSE_Mean,RMSE_SD,MAE_Mean,MAE_SD,R2_Mean,R2_SD
Random Forest,10.71527883545051,1.6763426039038178,6.9507457159137855,1.1066135391540126,0.7300318263129384,0.08243180388163786
XGBoost,11.084434348526882,1.7925579243531342,7.10863424524486,1.0591674641199706,0.706412640083339,0.10507026352702281
OLS,16.989617575878686,2.6541314552072084,12.7249163149429,1.7035490363008938,0.34195064443215195,0.11471630916104975
