Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-07,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-09,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-11,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-12,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-14,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-15,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-16,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-18,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-20,83.91618055555556,124.89437500000001,32.116388888888885,114.14847222222222,96.45895833333333,,98.69722222222221,2.7753472222222224,39.3125,10.037777777777777,,,,,3.8444444444444446,,,,,,,,,
2023-01-21,86.13131944444444,128.19993055555554,27.294965277777777,154.90579861111112,81.40722222222222,,135.5048263888889,2.6138541666666666,37.54861111111111,9.856006944444445,,,,,3.7547569444444444,,,,,,,,,
2023-01-22,91.56354166666667,135.85010416666668,24.653368055555557,146.94628472222223,73.16,,127.30843750000001,2.5939583333333336,45.135416666666664,7.682118055555556,,,,,2.951458333333333,,,,,,,,,
2023-01-23,117.00690972222223,174.2834375,29.842118055555556,147.92972222222224,89.35885416666667,,128.22930555555556,2.581875,40.61111111111111,9.8246875,,,,,3.7432986111111113,,,,,,,,,
2023-01-24,128.59597222222223,191.58090277777777,27.0278125,156.7251736111111,80.57440972222223,,136.44576388888888,2.594340277777778,52.62847222222222,10.691979166666668,,,,,4.063923611111111,,,,,,,,,
2023-01-25,123.64222222222223,184.1859722222222,36.41166666666667,143.57913194444444,109.86881944444444,,125.6467013888889,2.600138888888889,34.31944444444444,9.607673611111112,,,,,3.6630902777777776,,,,,,,,,
2023-01-26,128.58680555555557,191.56618055555555,35.60916666666667,140.80354166666666,107.36399305555555,,122.56493055555556,2.677222222222222,29.07638888888889,8.37,,,,,3.2049652777777777,,,,,,,,,
2023-01-27,107.31099999999999,159.81094444444443,39.413090277777776,145.86354166666666,119.24052083333333,,125.07611111111112,2.6815277777777777,14.895833333333334,12.541840277777778,,,,,4.748854166666667,,,,,,,,,
2023-01-28,139.75475694444444,208.23541666666668,34.890659722222225,136.5404513888889,105.12097222222222,,115.20524305555556,2.6716319444444445,15.118055555555555,13.57079861111111,,,,,5.1296875,,,,,,,,,
2023-01-29,78.07371527777778,116.1736111111111,23.180173611111112,153.91958333333335,68.56003472222223,,133.73569444444445,2.6650694444444443,32.0,5.04125,,,,,1.9733333333333334,,,,,,,,,
2023-01-30,107.53961805555555,157.55208333333334,26.98125,168.98208333333335,80.42753472222222,,146.55913194444443,2.6640625,25.493055555555557,7.313020833333333,,,,,2.8140625,,,,,,,,,
2023-01-31,118.63055555555555,175.35194444444446,30.378229166666667,153.06934027777777,91.03159722222222,,133.82472222222222,2.6562152777777777,15.211805555555555,11.615104166666667,,,,,4.405347222222223,,,,,,,,,
2023-02-01,130.64371527777777,194.6363888888889,36.99923611111111,151.21920138888888,111.31600694444444,,129.7849652777778,2.657465277777778,15.479166666666666,9.176458333333333,,,,,3.5031944444444445,,,,,,,,,
2023-02-02,146.56444444444443,218.3986111111111,35.79170138888889,143.17923611111112,107.93354166666666,,123.51034722222222,2.672465277777778,15.326388888888888,12.045381944444443,,,,,4.564791666666667,,,,,,,,,
2023-02-03,118.3425,176.275,32.62875,157.1125,98.065,,136.8425,2.49125,9.875,25.6075,,,,,9.585,,,,,,,,,
2023-02-04,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-05,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-06,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-07,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-08,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-09,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-11,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-12,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-13,161.71712962962962,241.0150925925926,45.765277777777776,103.76435185185186,139.0736111111111,,68.51287037037036,2.7739814814814814,17.666666666666668,21.254074074074072,,,,,7.97101851851852,,,,,,,,,
2023-02-14,173.8669117647059,259.14882352941174,36.63822916666667,112.66614583333335,110.57729166666667,,83.85614583333334,2.744479166666667,18.73263888888889,19.72763888888889,,,,,7.407291666666667,,,,,,,,,
2023-02-15,99.91486111111111,148.77090277777776,42.089444444444446,118.4192361111111,127.59697916666666,,78.87909722222223,2.8905555555555558,19.47222222222222,17.365729166666668,,,,,6.572743055555556,,,,,,,,,
2023-02-16,114.80520833333333,170.99715277777776,37.425381944444446,112.75347222222223,113.03423611111111,,81.11954861111111,2.986631944444445,14.899305555555555,18.003368055555555,,,,,6.769444444444445,,,,,,,,,
2023-02-17,112.50350694444444,167.56194444444444,39.1621875,111.94895833333334,118.455,,78.66184027777778,3.0214583333333334,20.364583333333332,15.501944444444446,,,,,5.843993055555555,,,,,,,,,
2023-02-18,111.41069444444445,166.4567361111111,36.168506944444445,105.93208333333332,109.11010416666666,,80.2578125,2.929826388888889,22.840277777777775,15.207083333333335,,,,,5.734895833333333,,,,,,,,,
2023-02-19,86.13527777777779,128.2068402777778,31.5975,97.95295138888889,94.40572916666667,,82.32114583333333,2.8414583333333336,34.482638888888886,13.575625,,,,,5.130694444444445,,,,,,,,,
2023-02-20,92.67429487179487,137.96641025641026,31.499166666666667,120.32653846153845,95.00628205128206,,97.34365384615384,2.6748076923076924,25.14102564102564,12.49923076923077,,,,,4.73275641025641,,,,,,,,,
2023-02-21,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-22,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-23,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-24,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-25,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-26,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-27,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-28,91.19439393939393,82.68350000000001,30.753166666666665,74.31780303030304,92.20425,,61.25742424242424,2.9962121212121215,56.59090909090909,8.683333333333334,,,,,3.3219166666666666,,,,,,,,,
2023-03-01,90.41267361111112,134.59052083333333,41.54263888888889,109.35197916666668,125.88805555555557,,75.3303125,2.991388888888889,29.989583333333332,10.756944444444445,,,,,4.088680555555555,,,,,,,,,
2023-03-02,128.18100694444445,190.9611111111111,42.90045138888889,116.49072916666667,130.12614583333334,,85.71579861111111,3.1583680555555556,26.48263888888889,14.258541666666668,,,,,5.383854166666667,,,,,,,,,
